model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
AA051611/O0201,2.2507008362620313,1,1.829011532626251,66,86.66666666666667,1
AA051612/A0125,2.129395412155576,2,1.403062423602842,474,86.66666666666667,2
AA051615/A0204,2.123199157034839,3,1.7417640105529022,109,85.92592592592592,6
AA051612/B0121,2.1010768869130048,4,1.5102067151159124,377,85.92592592592592,5
AA051611/V0201,2.092271596776483,5,0.917807212314396,840,83.7037037037037,7
CausalLM/34b-beta,2.0874997983439867,6,1.8861182723871248,48,86.66666666666667,3
AA051610/A0127,2.045301436710524,7,1.4761926849687477,403,85.92592592592592,4
AA051615/A0221,1.9604064858871368,8,1.6305268061145983,207,81.48148148148148,12
AA051612/A0126,1.9579746438829424,9,1.020830840558225,759,83.7037037037037,9
AA051610/O0128,1.9396120731992224,10,1.1754983485827577,652,82.22222222222221,10
AA051615/A0304,1.9323071448602152,11,1.12186173498502,692,80.0,15
AA051612/A0124,1.909685931938503,12,1.0079671843574036,764,83.7037037037037,8
Qwen/Qwen2-72B,1.8469809468102096,13,1.172457705619291,657,80.0,16
AA051615/L0225,1.84280088845566,14,0.9997152852910854,771,79.25925925925927,18
AA051611/V0202,1.838723781061589,15,0.4484654163016885,1386,80.74074074074075,13
NeverSleep/CausalLM-RP-34B,1.8385440096233376,16,0.9748488657280044,789,78.51851851851852,19
AA051612/B0122,1.7758336106676935,17,0.8289974040403557,904,82.22222222222221,11
AA051615/A0308-G,1.7488982782001743,18,0.5321734326648425,1263,75.55555555555556,33
AA051615/L0223,1.694478693474812,19,0.5627745171386116,1206,77.03703703703704,21
kyujinpy/PlatYi-34B-Llama-Q,1.6082774146323358,20,1.2740928178948157,574,75.55555555555556,37
kyujinpy/PlatYi-34B-LoRA,1.5647251043796768,21,1.060428277347241,737,75.55555555555556,39
meta-llama/Meta-Llama-3-70B,1.5579618775027213,22,0.5432699796389059,1245,78.51851851851852,20
Qwen/Qwen1.5-110B,1.557919653606504,23,0.82164341569955,909,73.33333333333333,100
kyujinpy/PlatYi-34B-Llama-Q-FastChat,1.5521331744088862,24,1.1174084067237569,695,75.55555555555556,38
AA051612/A0123,1.551845637052541,25,0.7199187649734253,1000,79.25925925925927,17
meta-llama/Meta-Llama-3-70B-Instruct,1.5487150859764411,26,0.4848864777284499,1327,77.03703703703704,23
fblgit/una-xaberius-34b-v1beta,1.5354212118981985,27,1.0733144261207217,723,74.81481481481481,54
AA051615/A0306,1.510914773991186,28,0.3918083465240068,1493,73.33333333333333,95
kyujinpy/PlatYi-34B-Llama,1.506340926835243,29,0.8688513019678555,877,75.55555555555556,36
cloudyu/Yi-34Bx3-MoE-90B,1.4939627063611047,30,0.9252046502111791,833,74.07407407407408,81
Weyaxi/Bagel-Hermes-2x34B,1.4917768294292746,31,1.0524199504703176,743,74.07407407407408,68
Weyaxi/Bagel-Hermes-2x34b,1.4917768294292746,32,1.0524199504703176,744,74.07407407407408,69
Locutusque/Hyperion-2.0-Yi-34B,1.4833391139215968,33,1.1526679505017572,673,77.03703703703704,22
TeeZee/Kyllene-34B-v1.1,1.4811966467342752,34,0.7787269657683061,942,75.55555555555556,34
MTSAIR/MultiVerse_70B,1.4810033548160098,35,0.7942426523756554,931,73.33333333333333,98
KnutJaegersberg/Deacon-34b-Adapter,1.4757878228166454,36,1.1536836520860934,671,76.29629629629629,27
cloudyu/Phoenix_DPO_60B,1.471997341008295,37,0.8277985058388913,905,72.5925925925926,129
Weyaxi/Helion-4x34B,1.469837154455489,38,0.8480522082080695,893,73.33333333333333,105
brucethemoose/Yi-34B-200K-DARE-merge-v7,1.467800955512338,39,0.7504341364402457,978,74.07407407407408,79
Weyaxi/Astralis-4x34B,1.467783912847293,40,0.841393254076419,898,73.33333333333333,103
kyujinpy/PlatYi-34B-Q,1.466644590962393,41,0.8931131421916616,862,73.33333333333333,112
Weyaxi/Cosmosis-3x34B,1.465117527927225,42,0.8480522082080695,892,73.33333333333333,104
brucethemoose/Yi-34B-200K-DARE-merge-v5,1.4646250807752348,43,0.7504341364402457,977,74.07407407407408,78
brucethemoose/SUS-Bagel-200K-DARE-Test,1.4631100473754863,44,0.9114473311932892,847,74.07407407407408,77
dfurman/HermesBagel-34B-v0.1,1.4604465545238654,45,0.7504341364402457,979,74.07407407407408,82
Weyaxi/Bagel-Hermes-34B-Slerp,1.4588197316675346,46,0.7504341364402457,976,74.07407407407408,70
01-ai/Yi-1.5-34B,1.4552026848057409,47,0.7127686344293107,1008,75.55555555555556,31
davidkim205/Rhea-72b-v0.2,1.4539922314173563,48,0.7552862358297338,965,72.5925925925926,130
mistral-community/Mixtral-8x22B-v0.1,1.4519428278869828,49,0.6076736723634317,1132,76.29629629629629,28
mistralai/Mixtral-8x22B-v0.1,1.4508652416555736,50,0.6076736723634317,1133,76.29629629629629,29
Weyaxi/Nous-Hermes-2-SUS-Chat-2x34B,1.4462902120915588,51,0.8937788845857318,861,74.81481481481481,49
ParasiticRogue/Merged-RP-Stew-V2-34B,1.4458267427715286,52,0.6609543101056807,1071,72.5925925925926,121
sumo43/Yi-32b-x2-v2.0,1.4447124272308731,53,0.7633039102071761,957,76.29629629629629,30
senseable/Wilbur-30B,1.4426971805708044,54,0.7919516166371358,933,74.81481481481481,59
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Slerp,1.4411095576534223,55,0.8327464040675517,902,72.5925925925926,125
KnutJaegersberg/Deacon-34b-qlora-adapter,1.440817042859439,56,1.0107561215319156,762,74.81481481481481,43
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-HighDensity,1.4378536224086935,57,0.6605375325373387,1073,72.5925925925926,128
davidkim205/Rhea-72b-v0.4,1.436269572871869,58,0.6894313713915406,1047,71.85185185185186,151
ibndias/Nous-Hermes-2-MoE-2x34B,1.4360282594477638,59,1.009105946481107,763,74.07407407407408,84
cloudyu/Truthful_DPO_TomGrc_FusionNet_34Bx2_MoE,1.4343209831738313,60,0.7125506268460533,1009,74.81481481481481,51
mistralai/Mixtral-8x22B-Instruct-v0.1,1.4336922258776257,61,0.5868687859074775,1163,74.81481481481481,57
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Linear,1.4314458499779028,62,0.8917946781194708,864,72.5925925925926,124
cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_full_linear_DPO,1.4311502705469628,63,0.7009577425860898,1026,75.55555555555556,35
brucethemoose/Yi-34B-200K-DARE-megamerge-v8,1.4287349036202968,64,0.7486048350379062,980,71.85185185185186,150
