model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
AA051611/O0201,4.0,1,1.5446525399092237,6,76.0,3
AA051611/V0201,4.0,2,1.6519950284823843,3,78.0,1
AA051615/A0204,4.0,3,1.7230780040104792,1,78.0,2
CausalLM/34b-beta,4.0,4,1.66602587405744,2,72.0,4
AA051612/A0125,3.9875292235417743,5,1.5701157783844155,4,70.0,5
AA051615/A0304,3.959175906708923,6,1.5367125825534822,7,62.0,11
AA051615/A0221,3.9159999197790176,7,1.545603361674048,5,69.0,6
AA051610/A0127,3.9128915066052303,8,1.3927414919879386,9,68.0,7
AA051611/V0202,3.8348934240279986,9,1.3136329855411242,12,67.0,8
AA051612/A0126,3.827763864387949,10,1.1994678079358003,31,60.0,15
Qwen/Qwen2-72B,3.826667244285736,11,1.2325595051034277,24,65.0,9
AA051612/A0124,3.8112826749732,12,1.1251227501817949,47,60.0,14
AA051615/A0308-G,3.7955950678290766,13,1.3527009906130576,11,61.0,12
AA051612/B0121,3.7876520347432217,14,1.0868897242488096,56,62.0,10
logicker/SkkuDS-DPO-72B-v3,3.745721835402431,15,1.4369723025549828,8,57.99999999999999,21
Qwen/Qwen1.5-110B,3.733668954156554,16,1.1207354260803122,49,59.0,18
01-ai/Yi-1.5-34B,3.6912124269835074,17,1.1467139835312707,43,59.0,17
AA051612/B0122,3.6809676011278496,18,0.9885335329733986,113,60.0,16
AA051615/L0223,3.673107971591542,19,1.2306833283409315,26,57.99999999999999,20
AA051610/O0128,3.6328292437682657,20,1.1843298875396746,34,56.99999999999999,23
meta-llama/Meta-Llama-3-70B-Instruct,3.632374458889319,21,1.046015784618333,71,57.99999999999999,22
logicker/SkkuDS-DPO-72B-v1,3.625065511074139,22,1.3726404971682231,10,56.99999999999999,24
Contamination/contaminated_proof_7b_v1.0_safetensor,3.595174743966183,23,1.0225044948416484,85,61.0,13
NeverSleep/CausalLM-RP-34B,3.483158468093583,24,1.2265072049578936,28,56.00000000000001,29
AA051615/L0225,3.465147955138027,25,1.2281039393665532,27,55.00000000000001,30
CausalLM/72B-preview,3.4251512060984934,26,1.2378044850571608,23,56.00000000000001,26
CausalLM/72B-preview-llamafied-qwen-llamafy,3.4171989081200445,27,1.247147752715842,20,56.00000000000001,27
cognitivecomputations/yayi2-30b-llama,3.4155999335215332,28,1.1814964625201136,37,59.0,19
moreh/MoMo-72B-LoRA-V1.4,3.3275528901279263,29,1.1458639859143664,44,55.00000000000001,37
SF-Foundation/Ein-72B-v0.12,3.289854069863681,30,1.3130786840071027,13,55.00000000000001,31
SF-Foundation/Ein-72B-v0.13,3.2886647757224226,31,1.3130786840071027,14,55.00000000000001,32
brucethemoose/SUS-Bagel-200K-DARE-Test,3.286760828431301,32,1.0003328418657256,100,55.00000000000001,36
abacusai/Smaug-70B-v0.1,3.279164933723943,33,1.2757895116622051,15,55.00000000000001,34
abacusai/Smaug-72B-v0.1,3.279164933723943,34,1.2757895116622051,16,55.00000000000001,35
Qwen/Qwen1.5-72B,3.1936324749810647,35,1.2669536793616434,18,54.0,40
Qwen/Qwen2-beta-72B,3.1936324749810647,36,1.2669536793616434,19,54.0,41
moreh/MoMo-70B-lora-1.8.5-DPO,3.1891091679347103,37,1.1475444728929558,42,54.0,45
TheBloke/Mixtral-8x7B-v0.1-GPTQ,3.178160204282632,38,1.073966675954235,59,55.00000000000001,33
moreh/MoMo-70B-LoRA-V1.4,3.1692442070135933,39,1.1304084545331436,46,54.0,44
SF-Foundation/Ein-72B-v0.11,3.1483865754255658,40,1.1821934998796215,36,54.0,42
Qwen/Qwen-72B,3.1296665038327274,41,1.1744554813988888,38,53.0,48
