model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
AA051611/O0201,3.079856470714605,1,1.3311685711163257,679,84.21052631578947,1
AA051611/V0201,2.7532220976208848,2,0.7580309713120182,1008,78.94736842105263,3
AA051615/A0204,2.707982048547967,3,1.318731146902602,691,77.19298245614034,5
AA051611/V0202,2.6866433253540705,4,0.6605972671911131,1078,79.82456140350878,2
AA051610/A0127,2.597967590995177,5,0.6898801291054544,1050,77.19298245614034,4
AA051612/A0125,2.558058858013014,6,0.6158519991524017,1120,75.43859649122807,7
NeverSleep/CausalLM-RP-34B,2.48885146015305,7,0.961699855346328,885,74.56140350877193,8
AA051615/A0221,2.471669954032723,8,1.0160337454432085,866,73.68421052631578,9
AA051615/L0223,2.470268675534289,9,0.6884486452427684,1051,76.31578947368422,6
AA051612/B0121,2.3857095633389576,10,0.4981927206259241,1196,71.9298245614035,14
AA051610/O0128,2.3398224991285215,11,0.8228695020330051,973,71.05263157894737,15
AA051612/A0126,2.2997937019472627,12,0.3951897148360125,1274,71.9298245614035,13
AA051615/A0308-G,2.296501749029356,13,0.7155466554635045,1034,71.05263157894737,17
Qwen/Qwen2-72B,2.270990584078123,14,0.2454216825543084,1424,73.68421052631578,10
CausalLM/34b-beta,2.2531346766088713,15,0.2976430327765541,1374,70.17543859649122,18
AA051612/A0124,2.234017114323648,16,0.3747650891440916,1295,71.05263157894737,16
meta-llama/Meta-Llama-3-70B-Instruct,2.170765019155945,17,0.3672454970424674,1301,72.80701754385966,12
meta-llama/Meta-Llama-3-70B,2.1044581838929477,18,0.2899137009322824,1383,72.80701754385966,11
AA051615/A0304,2.048804623872295,19,0.1178576497762767,1596,67.54385964912281,24
AA051615/L0225,2.0411177142630885,20,0.1229522411463527,1593,68.42105263157895,20
Qwen/Qwen1.5-110B,1.9445157361871328,21,0.3318753708081954,1346,67.54385964912281,25
mistral-community/Mixtral-8x22B-v0.1,1.9013584734277793,22,0.3990198233546131,1271,68.42105263157895,23
AA051610/C0322-reft,1.8658914269817104,23,0.2176882580392808,1457,68.42105263157895,19
CausalLM/35b-beta2ep,1.8658914269817104,24,0.2176882580392808,1458,68.42105263157895,21
mistralai/Mixtral-8x22B-v0.1,1.8646609282815163,25,0.4006361361074414,1270,67.54385964912281,26
AA051612/B0122,1.8590675276307524,26,0.0750568468418628,1658,64.91228070175438,35
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-HighDensity,1.838626297058,27,0.2755420473115845,1397,66.66666666666666,28
