model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
Qwen/Qwen2-72B,2.723464116534424,1,1.7411275696278126,316,73.80952380952381,1
AA051611/V0201,2.61931154324508,2,0.5176817680346649,1167,73.01587301587301,2
AA051611/O0201,2.430960276157664,3,0.4342265822344154,1236,69.04761904761905,3
AA051615/A0204,2.184048704255561,4,0.5147200513008242,1170,65.07936507936508,7
AA051612/B0121,2.17701834773855,5,0.5020200033232742,1176,64.28571428571429,10
AA051610/O0128,2.162155618149817,6,0.5736400773443887,1115,65.07936507936508,6
CausalLM/34b-beta,2.139841465109014,7,0.5700281310703559,1123,64.28571428571429,11
01-ai/Yi-1.5-34B,2.074618452076381,8,0.6661243612468762,1033,67.46031746031747,4
AA051615/A0304,2.0363049474219785,9,0.8441354563985499,919,61.904761904761905,15
NeverSleep/CausalLM-RP-34B,2.0334427048991164,10,0.6764495078578868,1022,61.904761904761905,18
01-ai/Yi-1.5-34B-Chat,2.033044374997647,11,0.8242955306144436,932,66.66666666666666,5
AA051615/L0223,2.018614704260062,12,1.1817036030846957,685,61.904761904761905,16
AA051612/A0126,1.998298046367785,13,0.5210328338847401,1162,61.111111111111114,21
AA051611/V0202,1.978518040246012,14,0.1727258215441481,1534,64.28571428571429,9
AA051615/L0225,1.9709032577987409,15,0.6624298954816487,1037,61.904761904761905,17
AA051610/A0127,1.9412735892720936,16,0.5727120275488246,1118,59.523809523809526,40
meta-llama/Meta-Llama-3-70B,1.922911451525562,17,0.3208055976001478,1345,65.07936507936508,8
AA051612/A0125,1.8196519631390895,18,0.0518278189756944,1676,60.317460317460316,28
AA051610/testtest,1.794359929759708,19,0.6035727924342461,1094,62.698412698412696,13
AA051615/A0308-G,1.790980536408386,20,0.2874740552395445,1385,60.317460317460316,30
jondurbin/bagel-34b-v0.2,1.7879222415109943,21,1.0999521008874469,728,60.317460317460316,33
meta-llama/Meta-Llama-3-70B-Instruct,1.7715804476267756,22,0.3458503092399991,1321,62.698412698412696,14
AA051615/A0221,1.7710037670817615,23,0.1396478029263876,1568,60.317460317460316,29
cloudyu/Truthful_DPO_cloudyu_Mixtral_34Bx2_MoE_60B,1.770656638229013,24,1.025532741648236,791,59.523809523809526,45
Qwen/Qwen1.5-110B-Chat,1.7689872305817698,25,0.3293942040734857,1336,63.49206349206349,12
Qwen/Qwen1.5-110B,1.7640739095452485,26,0.2914479351105166,1377,61.904761904761905,19
mistral-community/Mixtral-8x22B-v0.1,1.7573803360625078,27,0.7067211617095535,1004,60.317460317460316,37
jondurbin/bagel-dpo-34b-v0.2,1.755333854779843,28,0.6050911462847743,1091,61.904761904761905,20
SUSTech/SUS-Chat-34B,1.7546189402259442,29,1.0207377108937994,797,60.317460317460316,32
cloudyu/Yi-34Bx3-MoE-90B,1.749765596577893,30,1.0250250347975196,793,58.730158730158735,62
cloudyu/Yi-34Bx2-MoE-60B,1.748480938217465,31,1.025069879527102,792,58.730158730158735,61
maywell/PiVoT-SUS-RP,1.7476499329376904,32,1.0458196454174735,766,59.523809523809526,50
AA051615/A0306,1.744719709823786,33,0.6532630557588224,1044,59.523809523809526,42
mistralai/Mixtral-8x22B-v0.1,1.7433448362341029,34,0.6602140647165939,1040,60.317460317460316,38
louisbrulenaudet/Pearl-34B-dare,1.741549223278897,35,0.7063927334442834,1005,61.111111111111114,25
louisbrulenaudet/Pearl-34B-ties,1.7334683328588725,36,0.667613483352996,1032,61.111111111111114,26
AA051611/whattest,1.7262933228030752,37,0.7584233590035205,973,59.523809523809526,41
