model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
AA051611/O0201,2.1173751323837937,1,1.758909296651315,69,94.65648854961832,3
AA051611/V0201,1.9905756941976624,2,1.0871237672271528,652,90.83969465648855,14
AA051612/A0125,1.9884381368297008,3,1.5300600731516187,284,93.12977099236642,6
AA051612/B0121,1.96429992214306,4,1.1935028562383418,534,95.41984732824427,1
AA051615/A0204,1.948600682244567,5,1.4405067984405435,321,90.83969465648855,15
AA051611/V0202,1.9234004145980923,6,1.7262273548709384,75,92.36641221374046,8
AA051610/A0127,1.8790925146008437,7,1.2406300064809532,502,92.36641221374046,7
AA051612/A0126,1.8655707510407065,8,1.326183273624211,431,92.36641221374046,9
AA051612/A0124,1.8638091371121168,9,1.7376351454085333,73,93.12977099236642,5
AA051610/O0128,1.8623706483271796,10,1.705300087373901,78,90.83969465648855,13
CausalLM/34b-beta,1.8552738014321772,11,0.9544205455268824,770,90.07633587786259,21
AA051615/A0221,1.829691611323252,12,1.110835865848432,624,90.83969465648855,16
AA051615/A0304,1.8123197176661576,13,0.8644522736762604,885,88.54961832061069,53
NeverSleep/CausalLM-RP-34B,1.793906341894853,14,1.2340674062896182,507,89.31297709923665,33
AA051615/A0308-G,1.7535497407791836,15,0.7216040740124257,1089,87.78625954198473,82
Qwen/Qwen2-72B,1.7353969880166455,16,0.8648609318603983,883,88.54961832061069,58
AA051612/B0122,1.7305371867423305,17,1.3836300013523335,379,92.36641221374046,10
AA051615/L0225,1.7011292891193566,18,0.6470085353801723,1188,86.25954198473282,168
AA051615/L0223,1.6835190748481077,19,0.7243680633602041,1085,88.54961832061069,54
AA051615/A0306,1.6064645183414747,20,1.0744149204260738,660,87.78625954198473,81
AA051610/C0322-reft,1.5915995631205877,21,1.6876335362965853,109,94.65648854961832,2
CausalLM/35b-beta2ep,1.5915995631205877,22,1.6876335362965853,110,94.65648854961832,4
AA051612/A0123,1.5355344643725588,23,1.4616275150714413,315,91.6030534351145,11
kyujinpy/PlatYi-34B-Llama-Q,1.529545049613755,24,1.0551053617389805,666,88.54961832061069,71
mistral-community/Mixtral-8x22B-v0.1,1.505599819148105,25,1.5378161620621675,277,90.07633587786259,28
mistralai/Mixtral-8x22B-v0.1,1.5042581600405376,26,1.5378161620621675,278,90.07633587786259,29
meta-llama/Meta-Llama-3-70B,1.4978573976709764,27,0.6376286450376264,1209,88.54961832061069,73
kyujinpy/PlatYi-34B-LoRA,1.4929183468527751,28,0.9437481517519252,787,87.78625954198473,109
cloudyu/Yi-34Bx2-MoE-60B,1.4865682376495346,29,1.2419079946146745,500,90.83969465648855,18
ParasiticRogue/Merged-RP-Stew-V2-34B,1.4840598817678388,30,1.1251455797959735,600,89.31297709923665,35
cloudyu/Yi-34Bx2-MoE-60B-DPO,1.482930382742237,31,1.2419079946146745,501,90.83969465648855,19
mistralai/Mixtral-8x22B-Instruct-v0.1,1.480374083255926,32,1.196029226400624,531,88.54961832061069,74
cloudyu/Yi-34Bx3-MoE-90B,1.4781866043996197,33,1.2234836230416075,516,90.07633587786259,24
Qwen/Qwen1.5-110B,1.4672063016867662,34,0.4211215931171616,1564,85.49618320610686,204
ibivibiv/alpaca-dragon-72b-v1,1.4627294198936414,35,1.4364964767441564,327,89.31297709923665,42
moreh/MoMo-70B-lora-1.8.5-DPO,1.4574621710433358,36,1.2727888704527963,475,89.31297709923665,44
meta-llama/Meta-Llama-3-70B-Instruct,1.4560873190586774,37,0.3268526521052534,1731,87.02290076335878,155
Weyaxi/Helion-4x34B,1.4540942490242894,38,1.0113839708067844,710,88.54961832061069,64
abacusai/Smaug-70B-v0.1,1.4529927808563114,39,1.4364964767441564,325,89.31297709923665,38
abacusai/Smaug-72B-v0.1,1.4529927808563114,40,1.4364964767441564,326,89.31297709923665,39
cloudyu/Mixtral_34Bx2_MoE_60B,1.4498976342723324,41,1.0546197168768463,667,89.31297709923665,40
