model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
AA051611/O0201,2.139506562158569,1,1.8330965596274464,21,96.29629629629629,1
AA051611/V0201,2.1034295135019008,2,2.200027219049925,4,96.29629629629629,2
AA051612/A0125,2.0149763826627276,3,1.97426180082908,11,93.51851851851852,7
AA051612/B0121,2.007502569392037,4,2.2907375780112105,1,93.51851851851852,9
AA051615/A0204,1.9965826053693472,5,1.7590336523523935,28,93.51851851851852,10
AA051611/V0202,1.970136800305573,6,2.200027219049925,5,96.29629629629629,3
CausalLM/34b-beta,1.9370766891582911,7,1.7590336523523935,29,93.51851851851852,12
AA051612/A0126,1.9052002926428653,8,1.97426180082908,12,93.51851851851852,8
AA051615/A0221,1.890572247242766,9,1.9382924814629936,14,92.5925925925926,16
AA051610/A0127,1.8899678253803276,10,1.408463862322939,153,91.66666666666666,19
AA051615/A0308-G,1.887500988764946,11,1.966269368137462,13,93.51851851851852,11
AA051612/A0124,1.8735516516281197,12,1.97426180082908,10,93.51851851851852,6
AA051615/A0304,1.871004782407245,13,1.7982325992488295,24,88.88888888888889,80
AA051610/O0128,1.8489717152432683,14,1.1711962992340537,407,92.5925925925926,14
NeverSleep/CausalLM-RP-34B,1.829916733203324,15,1.7404478671210717,30,90.74074074074075,25
AA051615/L0225,1.8078602109528592,16,1.7911768775923536,25,88.88888888888889,81
AA051615/L0223,1.7761404173666588,17,1.5819634385670245,54,92.5925925925926,17
AA051612/B0122,1.7716669352534042,18,2.249512726087406,3,92.5925925925926,15
Qwen/Qwen2-72B,1.7344817000103336,19,0.7648602104429348,1150,87.96296296296296,116
AA051615/A0306,1.656757831583482,20,1.7810325831614262,26,89.81481481481481,36
kyujinpy/PlatYi-34B-Llama-Q,1.6094880105312657,21,2.2502974256431667,2,92.5925925925926,18
kyujinpy/PlatYi-34B-LoRA,1.5662843885404878,22,2.120430355002414,6,89.81481481481481,65
AA051610/C0322-reft,1.5575306121143484,23,1.4894111680133062,106,91.66666666666666,20
CausalLM/35b-beta2ep,1.5575306121143484,24,1.4894111680133062,107,91.66666666666666,21
fblgit/una-xaberius-34b-v1beta,1.5404526506744274,25,1.8863457839256872,16,90.74074074074075,30
meta-llama/Meta-Llama-3-70B-Instruct,1.5400364966778683,26,0.7189718388390943,1203,87.96296296296296,136
kyujinpy/PlatYi-34B-Llama,1.526050117588934,27,1.8153469044931088,23,89.81481481481481,64
ParasiticRogue/Merged-RP-Stew-V2-34B,1.5240319033322915,28,1.856613218246106,17,89.81481481481481,45
AA051612/A0123,1.51932917740313,29,1.5444901835621747,66,89.81481481481481,35
TeeZee/Kyllene-34B-v1.1,1.5145557510541672,30,2.084028641728988,9,91.66666666666666,22
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-HighDensity,1.5123929769112023,31,1.837977764225687,20,90.74074074074075,28
cloudyu/Phoenix_DPO_60B,1.5102865800770424,32,1.5613857005857477,62,90.74074074074075,29
kyujinpy/PlatYi-34B-Llama-Q-FastChat,1.5097657687124513,33,1.595859518702904,53,88.88888888888889,107
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Slerp,1.4899071137506763,34,1.8863457839256872,15,90.74074074074075,27
Weyaxi/Bagel-Hermes-34B-Slerp,1.4816885042935606,35,1.5444901835621747,71,89.81481481481481,49
dfurman/HermesBagel-34B-v0.1,1.4777840890278802,36,1.5271733187199454,96,88.88888888888889,104
kyujinpy/PlatYi-34B-Q,1.475420465194743,37,1.33117207594916,208,88.88888888888889,109
brucethemoose/Yi-34B-200K-DARE-merge-v7,1.4698582159836378,38,1.3830468789241597,178,87.96296296296296,125
brucethemoose/Yi-34B-200K-DARE-megamerge-v8,1.4698073636789406,39,1.5757771994578584,57,88.88888888888889,101
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Linear,1.466939255137913,40,1.856613218246106,18,89.81481481481481,50
Weyaxi/Bagel-Hermes-2x34B,1.466159277959267,41,1.3856691695817376,168,89.81481481481481,47
Weyaxi/Bagel-Hermes-2x34b,1.466159277959267,42,1.3856691695817376,169,89.81481481481481,48
brucethemoose/SUS-Bagel-200K-DARE-Test,1.46204049817453,43,1.7172741860448464,35,89.81481481481481,54
Qwen/Qwen1.5-110B,1.461995528672078,44,0.2784500959673032,1892,86.11111111111111,171
Weyaxi/Helion-4x34B,1.4610706663118749,45,1.2542622313042304,284,88.88888888888889,93
cloudyu/Yi-34Bx3-MoE-90B,1.455508412243418,46,1.2447508608624742,300,87.96296296296296,130
Weyaxi/Cosmosis-3x34B,1.455398742681358,47,1.2542622313042304,283,88.88888888888889,92
Weyaxi/Astralis-4x34B,1.455243495307467,48,1.2542622313042304,282,88.88888888888889,91
meta-llama/Meta-Llama-3-70B,1.4541155772183314,49,0.3946771922654338,1712,86.11111111111111,184
xDAN2099/xDAN-L2-moe-2x-v1,1.4517821555135253,50,1.7167576791397356,37,89.81481481481481,74
cloudyu/Yi-34Bx2-MoE-60B-DPO,1.4496662862816252,51,1.2447508608624742,299,87.96296296296296,129
wenbopan/Faro-Yi-34B-200K,1.4477157468197446,52,1.7404478671210717,31,90.74074074074075,31
NousResearch/Nous-Hermes-2-Yi-34B,1.4460121488871402,53,1.85601676931105,19,89.81481481481481,44
brucethemoose/Yi-34B-200K-DARE-merge-v5,1.441155010058084,54,1.1073508144538244,511,87.03703703703704,153
senseable/Wilbur-30B,1.4381904986071743,55,1.5444901835621747,84,89.81481481481481,71
macadeliccc/SmaugDolphin-60B,1.4371193846084966,56,1.5086210096281925,102,87.96296296296296,135
TomGrc/FusionNet_34Bx2_MoE_v0.1,1.4367839140258714,57,1.5444901835621747,70,89.81481481481481,46
cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_full_linear_DPO,1.436774762600029,58,1.5444901835621747,76,89.81481481481481,56
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-ExtremeDensity,1.4364619971358508,59,1.0995008493539251,520,86.11111111111111,179
abacusai/Smaug-34B-v0.1,1.433975255594793,60,1.5444901835621747,73,89.81481481481481,52
abacusai/Smaugv0.1,1.433975255594793,61,1.5444901835621747,74,89.81481481481481,53
TomGrc/FusionNet_34Bx2_MoE,1.4331575481559078,62,1.2542622313042304,281,88.88888888888889,90
louisbrulenaudet/Pearl-34B-ties,1.4323718546270885,63,1.5444901835621747,82,89.81481481481481,67
AA051611/whattest,1.4321116034761434,64,1.7167576791397356,36,89.81481481481481,34
fblgit/UNA-SimpleSmaug-34b-v1beta,1.4315566742540446,65,1.5444901835621747,79,89.81481481481481,59
cloudyu/Yi-34Bx2-MoE-60B,1.4308503090246938,66,1.0197250187275644,698,87.03703703703704,154
louisbrulenaudet/Maxine-34B-stock,1.4308433962270055,67,1.5444901835621747,81,89.81481481481481,66
cloudyu/Yi-34Bx2-MOE-200K,1.4307988241488068,68,1.5444901835621747,77,89.81481481481481,57
SUSTech/SUS-Chat-34B,1.430582253815749,69,1.692844651811106,39,88.88888888888889,89
cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO_f16,1.4293879633355626,70,1.5444901835621747,75,89.81481481481481,55
davidkim205/Rhea-72b-v0.4,1.4284789354468428,71,0.6087810955933195,1325,87.96296296296296,131
MTSAIR/MultiVerse_70B,1.4284215113942271,72,0.5977885041134134,1338,87.03703703703704,148
ConvexAI/Luminex-34B-v0.2,1.428049424134568,73,1.5444901835621747,67,89.81481481481481,39
abacusai/MetaMath-Bagel-DPO-34B,1.4274106405971774,74,1.5444901835621747,72,89.81481481481481,51
AA051610/testtest,1.4263393436375362,75,1.5444901835621747,65,89.81481481481481,33
cloudyu/Mixtral_34Bx2_MoE_60B,1.425939724899402,76,1.025135583374894,684,87.96296296296296,127
maywell/PiVoT-SUS-RP,1.4240758925512207,77,1.692844651811106,41,88.88888888888889,111
jondurbin/bagel-dpo-34b-v0.2,1.42294498812872,78,1.5444901835621747,80,89.81481481481481,63
cloudyu/Truthful_DPO_cloudyu_Mixtral_34Bx2_MoE_60B,1.4228129918866983,79,1.025135583374894,685,87.96296296296296,128
sumo43/Yi-34b-x2,1.4196474752451589,80,1.5444901835621747,85,89.81481481481481,73
NLPinas/yi-bagel-2x34b,1.4191315581398438,81,1.5444901835621747,68,89.81481481481481,42
NLPinas/yi-bagel-2x34b-moe,1.4191315581398438,82,1.5444901835621747,69,89.81481481481481,43
abacusai/MM-OV-bagel-DPO-34b-c1000-250,1.416632778224149,83,1.5271733187199454,94,88.88888888888889,95
cloudyu/Truthful_DPO_TomGrc_FusionNet_34Bx2_MoE,1.4156326642993735,84,1.2158517679904357,335,88.88888888888889,103
mistralai/Mixtral-8x22B-Instruct-v0.1,1.4147882636458562,85,0.6573609469958559,1274,86.11111111111111,186
ibndias/Nous-Hermes-2-MoE-2x34B,1.4135353798033718,86,1.3856691695817376,170,89.81481481481481,60
sumo43/Yi-32b-x2-v2.0,1.4122833045778784,87,1.4092141128563846,152,89.81481481481481,72
louisbrulenaudet/Pearl-34B-dare,1.4118297883770383,88,1.5271733187199454,97,88.88888888888889,110
brucethemoose/CapyTessBorosYi-34B-200K-DARE-Ties,1.4112660351874595,89,1.692844651811106,40,88.88888888888889,100
mncai/yi-34B-v3,1.4103905055929786,90,1.7223921371653192,33,89.81481481481481,68
Weyaxi/Nous-Hermes-2-SUS-Chat-2x34B,1.4103401377156937,91,1.2542622313042304,285,88.88888888888889,94
KnutJaegersberg/Deacon-34b-qlora-adapter,1.409028933872273,92,1.3856691695817376,167,89.81481481481481,41
jondurbin/nontoxic-bagel-34b-v0.2,1.4084950578290023,93,1.5774638580763156,56,91.66666666666666,23
kyujinpy/PlatYi-34B-200k-Q-FastChat,1.4072151962696573,94,1.172522073087462,406,87.03703703703704,159
KnutJaegersberg/Deacon-34b-Adapter,1.406562250151309,95,1.3856691695817376,166,89.81481481481481,40
abacusai/MM-Orc-Vic-bagel-34b-c1000,1.398322568635651,96,1.5271733187199454,95,88.88888888888889,96
kyujinpy/PlatYi-34B-Llama-Q-v2,1.398307595080852,97,1.1511575946115002,444,87.96296296296296,134
fblgit/UNA-34BeagleSimpleMath-32K-v1,1.3964787752063417,98,1.5444901835621747,78,89.81481481481481,58
ibivibiv/alpaca-dragon-72b-v1,1.3889892961878236,99,0.6087810955933195,1326,87.96296296296296,133
mncai/yi-34B-v2,1.3878885868129314,100,1.6734272484780088,45,87.96296296296296,139
jondurbin/bagel-34b-v0.2,1.3860503334906225,101,1.0486057627396037,644,88.88888888888889,105
adamo1139/yi-34b-200k-rawrr-dpo-1,1.3857312569754452,102,1.3963938644684946,160,88.88888888888889,99
adamo1139/Yi-34b-200K-rawrr-v2-run-0902-LoRA,1.3843678077326995,103,1.6923358186388506,42,88.88888888888889,98
one-man-army/UNA-34Beagles-32K-bf16-v1,1.3838879105131685,104,1.4092141128563846,151,89.81481481481481,70
AbacusResearch/Jallabi-34B,1.3836926070123332,105,1.334451260566169,206,89.81481481481481,37
Locutusque/Hyperion-2.0-Yi-34B,1.3804565508571325,106,1.1587329345921926,436,88.88888888888889,86
Locutusque/Hyperion-3.0-Yi-34B,1.3759898413870346,107,1.1587329345921926,437,88.88888888888889,87
adamo1139/Yi-34B-200K-rawrr1-LORA-DPO-experimental-r3,1.3747565980577052,108,1.3830468789241597,176,87.96296296296296,123
adamo1139/yi-34b-200k-rawrr-dpo-2,1.3740719709536202,109,1.3830468789241597,177,87.96296296296296,124
moreh/MoMo-70B-lora-1.8.6-DPO,1.3713870980420324,110,0.4746587856363894,1567,87.03703703703704,161
Azure99/blossom-v5-34b,1.3693762105594025,111,1.198784679806884,358,88.88888888888889,84
CausalLM/72B-preview,1.3688464728923948,112,0.6583422535669585,1271,85.18518518518519,195
