model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
AA051611/O0201,3.819691368623831,1,2.9234780275245504,5,90.16759776536313,2
AA051612/A0125,3.815041792033415,2,3.093606357500312,2,89.27374301675978,3
AA051612/B0121,3.8013115037656218,3,2.999642166460074,4,88.93854748603351,4
AA051615/A0308-G,3.7667859968337463,4,3.024677506086882,3,87.59776536312849,6
AA051611/V0201,3.7570904744103655,5,2.5285393883737983,7,90.5027932960894,1
AA051612/A0124,3.7471735752322215,6,3.1488247247683026,1,85.02793296089386,14
AA051615/A0221,3.731502949217236,7,2.7558304564062945,6,85.47486033519553,12
AA051615/A0304,3.7142373178639456,8,2.4578255198016707,9,87.15083798882681,7
AA051612/A0126,3.690534799723755,9,2.151044110778408,18,86.4804469273743,9
AA051610/O0128,3.6807075534628177,10,2.0999314508354012,23,86.03351955307262,11
AA051610/A0127,3.6745425445396487,11,2.0938310061335237,24,86.4804469273743,8
AA051615/A0204,3.631392924223074,12,2.317959966306206,12,84.1340782122905,15
AA051615/L0225,3.6258073827091217,13,1.8337197279778377,34,85.13966480446928,13
AA051611/V0202,3.5867100233305096,14,1.9349727790210072,29,88.04469273743017,5
CausalLM/34b-beta,3.5836936294634114,15,2.113538193661091,21,83.79888268156425,16
AA051615/L0223,3.5487550669748735,16,1.4668983421790045,322,86.36871508379889,10
Qwen/Qwen2-72B,3.469029121101619,17,1.4988771779689165,276,82.68156424581005,17
NeverSleep/CausalLM-RP-34B,3.3931882816856755,18,1.4638032290464946,327,82.12290502793296,19
cloudyu/Mixtral_34Bx2_MoE_60B,3.3432486043232412,19,1.362580371108739,442,81.56424581005587,21
cloudyu/Yi-34Bx2-MOE-200K,3.342787837119787,20,1.495595996016979,286,81.34078212290503,24
louisbrulenaudet/Pearl-34B-dare,3.3311154156407854,21,1.6303576710921268,111,80.78212290502793,29
cloudyu/Truthful_DPO_cloudyu_Mixtral_34Bx2_MoE_60B,3.323178638836942,22,1.3181425744508315,503,81.45251396648044,22
jondurbin/bagel-dpo-34b-v0.2,3.322335968187306,23,1.5937298080022906,153,80.67039106145252,30
Qwen/Qwen1.5-110B,3.311578862150529,24,1.4776626714473833,307,81.00558659217877,26
AA051610/testtest,3.3078468368049587,25,1.583244210974318,173,80.44692737430168,33
cloudyu/Yi-34Bx2-MoE-60B-DPO,3.299791189248535,26,1.2906463238565782,522,81.1173184357542,25
AA051612/B0122,3.2955960997531952,27,1.8671714435025573,32,78.99441340782123,56
cloudyu/Yi-34Bx2-MoE-60B,3.2924983501035414,28,1.288674458436442,526,81.00558659217877,28
louisbrulenaudet/Pearl-34B-ties,3.288347361283324,29,1.428948719835312,371,80.55865921787709,32
jondurbin/bagel-34b-v0.2,3.2809086027949546,30,1.719847519551069,53,80.0,40
abacusai/MM-OV-bagel-DPO-34b-c1000-250,3.2559703348361144,31,1.2190186853247251,588,81.00558659217877,27
cloudyu/Yi-34Bx3-MoE-90B,3.229515767444451,32,1.2402402073929355,570,80.11173184357541,35
MTSAIR/MultiVerse_70B,3.2237309568681805,33,0.929827564451254,849,82.3463687150838,18
davidkim205/Rhea-72b-v0.5,3.2232126389966993,34,1.059971328646822,718,81.7877094972067,20
abacusai/MetaMath-Bagel-DPO-34B,3.221456780433981,35,1.1286005101656422,668,80.55865921787709,31
fblgit/una-xaberius-34b-v1beta,3.220882310990701,36,1.4737710589188264,310,79.44134078212291,54
abacusai/MM-Orc-Vic-bagel-34b-c1000,3.2166226031131897,37,1.2454483476976128,563,80.33519553072625,34
davidkim205/Rhea-72b-v0.4,3.212583188293938,38,1.080012307788293,708,81.45251396648044,23
macadeliccc/SmaugDolphin-60B,3.208442474392946,39,1.3008970363558152,514,79.55307262569833,48
NLPinas/yi-bagel-2x34b,3.2063596755103623,40,1.2691961636938975,543,79.88826815642457,41
NLPinas/yi-bagel-2x34b-moe,3.2063596755103623,41,1.2691961636938975,544,79.88826815642457,42
dfurman/HermesBagel-34B-v0.1,3.2039927517684523,42,1.1889911047856807,611,79.77653631284916,45
cloudyu/Phoenix_DPO_60B,3.186875337057829,43,1.2208604051738574,586,79.44134078212291,53
sumo43/Yi-34b-x2,3.186215026262866,44,1.2325944241835092,580,79.66480446927375,47
