model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
AA051611/O0201,2.532233742051022,1,0.3293384510111788,1216,80.85106382978722,1
AA051612/A0125,2.440848553380458,2,0.4604823099689243,1096,80.1418439716312,2
AA051611/V0201,2.4379748187234735,3,0.4887012803371777,1074,78.72340425531915,3
AA051612/B0121,2.3640187061130775,4,0.3470576052139772,1196,78.36879432624113,4
AA051615/A0204,2.287995314327567,5,0.4012190641352271,1147,75.53191489361703,6
AA051610/A0127,2.1910411228489233,6,0.328968718678665,1217,74.822695035461,8
AA051611/V0202,2.1901816644947085,7,0.3329759532114743,1209,75.177304964539,7
CausalLM/34b-beta,2.1734485335945366,8,0.3317036862193009,1212,73.75886524822694,12
AA051612/A0124,2.1669338490872674,9,0.1987344009155878,1392,75.88652482269504,5
AA051610/O0128,2.163812257523902,10,0.453777347846367,1100,73.75886524822694,10
AA051612/A0126,2.1413396993847043,11,0.2599672012602665,1311,73.75886524822694,11
AA051615/A0304,2.1397006448064,12,0.4805159963390907,1082,72.69503546099291,14
Qwen/Qwen2-72B,2.0830109336212845,13,0.382323640183263,1163,74.11347517730496,9
AA051615/A0221,2.054590858673178,14,0.2407884649878753,1332,71.63120567375887,15
AA051615/A0308-G,2.0480384015675037,15,0.2724473232549614,1294,71.27659574468085,16
NeverSleep/CausalLM-RP-34B,2.0359396178799893,16,0.395711982170583,1149,69.8581560283688,21
AA051612/B0122,2.0245612264992383,17,0.3234640774170539,1225,73.40425531914893,13
AA051615/L0225,2.009386803418077,18,0.2465956803698937,1324,70.92198581560284,18
AA051615/L0223,1.935649739730291,19,0.1057012707607529,1589,70.2127659574468,20
AA051615/A0306,1.7953753820139544,20,0.1614566231961393,1473,68.43971631205675,23
Qwen/Qwen1.5-110B,1.7510370194061953,21,0.2610035361041665,1308,67.02127659574468,27
kyujinpy/PlatYi-34B-LoRA,1.7267253055335687,22,0.1883767470332019,1410,68.08510638297872,25
kyujinpy/PlatYi-34B-Llama-Q,1.698653666141778,23,0.1861155883032432,1415,66.66666666666666,36
kyujinpy/PlatYi-34B-Llama,1.6863455858256555,24,0.2917399886649793,1270,67.02127659574468,31
ParasiticRogue/Merged-RP-Stew-V2-34B,1.683700138302858,25,0.3023084963529647,1255,66.66666666666666,35
cloudyu/Phoenix_DPO_60B,1.6827489159734454,26,0.2412482050335163,1331,67.02127659574468,30
TeeZee/Kyllene-34B-v1.1,1.6816792818550783,27,0.35798723044214,1189,67.02127659574468,29
Weyaxi/Astralis-4x34B,1.680052746258162,28,0.3154028175966857,1238,67.37588652482269,26
AA051610/C0322-reft,1.6637478325715134,29,0.1493245974603586,1496,68.43971631205675,22
CausalLM/35b-beta2ep,1.6637478325715134,30,0.1493245974603586,1497,68.43971631205675,24
meta-llama/Meta-Llama-3-70B-Instruct,1.6612321323749986,31,0.1512427568309055,1492,63.829787234042556,106
MTSAIR/MultiVerse_70B,1.659162917407642,32,0.2567770973095973,1315,66.31205673758865,39
davidkim205/Rhea-72b-v0.2,1.6567534512044375,33,0.4083134131426354,1143,65.60283687943263,59
AA051612/A0123,1.6537312511363136,34,0.1200867684248942,1560,66.66666666666666,33
