model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
AA051611/O0201,2.756158376749752,1,3.2560032660299503,2,87.61408083441981,1
AA051611/V0201,2.701680348652404,2,2.8762943895858935,6,83.05084745762711,4
AA051612/A0125,2.6893467012027084,3,3.4473914135675243,1,85.26727509778357,2
AA051612/B0121,2.659472595002464,4,3.1067275055137995,4,80.83441981747066,9
AA051615/A0204,2.6492261898161606,5,2.695693104903384,11,82.52933507170795,7
AA051610/A0127,2.6219647933562307,6,3.1932884829730055,3,83.05084745762711,3
CausalLM/34b-beta,2.614214760700339,7,2.787050365689963,8,81.02998696219035,8
AA051611/V0202,2.589702074917601,8,2.4952765164635995,14,82.92046936114733,5
AA051615/A0304,2.5841574245841565,9,2.7086357493703033,10,79.72620599739244,10
AA051612/A0126,2.545590935568478,10,3.0988364577002256,5,78.6179921773142,11
AA051615/A0221,2.512690935364505,11,2.8263018626315497,7,78.22685788787483,12
AA051615/A0308-G,2.471675993820352,12,2.640079220399154,12,77.64015645371578,13
AA051610/O0128,2.45631601529755,13,2.7860057366917874,9,76.85788787483703,17
AA051612/A0124,2.4204149160042334,14,2.511670753062834,13,76.72750977835724,18
AA051615/L0225,2.4181009254510473,15,2.343431142185832,15,77.3794002607562,16
NeverSleep/CausalLM-RP-34B,2.2979423304988336,16,1.9897037536496944,17,74.44589308996089,20
AA051615/L0223,2.2939801024032613,17,2.1239947151674157,16,75.35853976531942,19
Contamination/contaminated_proof_7b_v1.0_safetensor,2.25747781425772,18,1.9655765963599168,18,82.92046936114733,6
AA051610/C0322-reft,2.215002521342475,19,1.7869136026465324,20,77.50977835723599,14
CausalLM/35b-beta2ep,2.215002521342475,20,1.7869136026465324,21,77.50977835723599,15
AA051612/B0122,2.131383627258779,21,1.943479692086619,19,71.83833116036506,21
AA051615/A0306,1.982556855325848,22,1.598089853099758,22,69.6219035202086,23
Qwen/Qwen2-72B,1.9709690204824553,23,0.7878967197886314,983,68.64406779661016,24
meta-llama/Meta-Llama-3-70B-Instruct,1.6950276376961049,24,0.6713871328899464,1100,64.14602346805736,32
Qwen/Qwen1.5-110B,1.6913083751876796,25,0.5388510100131658,1323,64.73272490221643,30
AA051612/A0123,1.6859854503323033,26,1.0713275948296828,732,63.754889178617994,34
MTSAIR/MultiVerse_70B,1.62974693128725,27,0.7557897320936147,1009,63.23337679269883,36
fblgit/una-xaberius-34b-v1beta,1.6278475732058115,28,0.6076774639727307,1203,64.40677966101694,31
davidkim205/Rhea-72b-v0.2,1.6158462153643915,29,0.8303734287792184,944,62.58148631029987,39
davidkim205/Rhea-72b-v0.4,1.5999588698006704,30,0.7667173983730585,1002,62.12516297262059,46
ParasiticRogue/Merged-RP-Stew-V2-34B,1.5972781018686768,31,0.8366482107862058,936,60.88657105606258,79
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-ExtremeDensity,1.592834982275097,32,0.8689457078033164,895,61.34289439374185,62
CausalLM/72B-preview-llamafied-qwen-llamafy,1.591052721195711,33,0.8601350103236841,909,62.71186440677966,37
CausalLM/72B-preview,1.5889437248995408,34,0.851444791176193,924,62.58148631029987,38
kyujinpy/PlatYi-34B-Llama-Q,1.5881003520927124,35,0.4286528263420344,1514,62.255541069100396,43
