model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
AA051611/O0201,1.9920100327163532,1,0.3026584968946909,1831,87.03703703703704,2
AA051611/V0201,1.9151911110884,2,0.3825128874648897,1638,84.25925925925925,4
AA051611/V0202,1.797872052997408,3,0.3594465000696391,1732,85.18518518518519,3
AA051615/A0204,1.783281479127623,4,0.2664060873152605,1924,82.4074074074074,9
AA051615/A0304,1.7787378768955906,5,0.5586203900500617,1305,82.4074074074074,10
CausalLM/34b-beta,1.7658270074311238,6,0.2564872770600075,1949,83.33333333333334,7
AA051612/A0125,1.7581592293301342,7,0.0394502041793145,2357,83.33333333333334,6
AA051615/A0308-G,1.7280134348934817,8,0.4187540377233344,1529,82.4074074074074,11
AA051615/L0225,1.69944607103582,9,0.463934148464689,1449,81.48148148148148,13
AA051612/B0121,1.6876718735142953,10,0.0182248079185961,2420,80.55555555555556,15
NeverSleep/CausalLM-RP-34B,1.680681223615172,11,0.3952179386259368,1604,80.55555555555556,18
AA051610/A0127,1.678540645743358,12,0.1723827959445038,2134,81.48148148148148,12
AA051610/O0128,1.6748345099332942,13,0.2514953946422707,1959,80.55555555555556,14
AA051615/A0221,1.6149126679289114,14,0.0449450325901497,2348,80.55555555555556,16
AA051612/A0124,1.603035498701089,15,0.1219941292546671,2200,79.62962962962963,19
AA051612/A0126,1.5831740232919118,16,-0.0506296035798822,2539,79.62962962962963,20
Qwen/Qwen2-72B,1.5064004817166132,17,0.2322392836084881,2003,75.0,78
AA051610/C0322-reft,1.499731491558744,18,0.3212070801480861,1791,83.33333333333334,5
CausalLM/35b-beta2ep,1.499731491558744,19,0.3212070801480861,1792,83.33333333333334,8
AA051612/B0122,1.4921621233319544,20,0.1330396823432171,2183,78.70370370370371,25
AA051615/A0306,1.4520124308389444,21,0.375593658477023,1711,75.92592592592592,54
SUSTech/SUS-Chat-72B,1.4425125205949407,22,1.340470287512337,251,79.62962962962963,22
Contamination/contaminated_proof_7b_v1.0_safetensor,1.4206956281300616,23,0.0324557649712867,2378,88.88888888888889,1
meta-llama/Meta-Llama-3-70B,1.4080757632725676,24,0.5032525070703023,1381,75.92592592592592,66
MTSAIR/MultiVerse_70B,1.3953807831028755,25,0.4294720884798398,1511,78.70370370370371,29
abacusai/Liberated-Qwen1.5-72B,1.3638772657762273,26,0.825607207395223,991,76.85185185185185,41
AA051615/L0223,1.3581449292026513,27,-0.2293573641349634,2819,76.85185185185185,38
abacusai/Smaug-2-72B,1.3551823857460483,28,0.4734913242722254,1438,77.77777777777779,32
Qwen/Qwen1.5-110B,1.3433433405269368,29,0.3188645726829812,1799,73.14814814814815,170
meta-llama/Meta-Llama-3-70B-Instruct,1.3351939204322003,30,0.1064516991548872,2219,75.0,96
davidkim205/Rhea-72b-v0.5,1.3292374934640767,31,0.3313384778184153,1774,76.85185185185185,44
CausalLM/72B-preview,1.3253480782889615,32,0.649228051461958,1174,75.92592592592592,55
CausalLM/72B-preview-llamafied-qwen-llamafy,1.3202698815358789,33,0.6106892731614765,1229,75.92592592592592,56
moreh/MoMo-70B-lora-1.8.6-DPO,1.3194559318061103,34,0.4138098406315883,1559,75.92592592592592,68
Qwen/Qwen1.5-72B-Chat,1.3176680082623484,35,0.469051050739003,1446,76.85185185185185,40
binbi/Ein-72B-v0.1,1.315689394046585,36,0.296162876825923,1851,77.77777777777779,34
mistral-community/Mixtral-8x22B-v0.1,1.3137534025657571,37,0.2965116770458605,1849,76.85185185185185,48
mistralai/Mixtral-8x22B-v0.1,1.3129222160864922,38,0.2965116770458605,1850,76.85185185185185,50
davidkim205/Rhea-72b-v0.3,1.3106277860138913,39,0.2982089306382286,1846,76.85185185185185,43
brucethemoose/Yi-34B-200K-DARE-merge-v5,1.3074274612697117,40,0.3006526451375154,1836,75.0,86
moreh/MoMo-72B-lora-1.8.7-DPO,1.304936108138863,41,0.4138098406315883,1560,75.92592592592592,70
01-ai/Yi-1.5-34B,1.2956176408976865,42,0.2498203741706163,1964,76.85185185185185,37
mistralai/Mixtral-8x22B-Instruct-v0.1,1.2932342849842509,43,0.2480308581675754,1967,76.85185185185185,49
kyujinpy/PlatYi-34B-Q,1.289491237577224,44,0.196572285246854,2076,75.92592592592592,64
ibivibiv/alpaca-dragon-72b-v1,1.2881885594022318,45,0.2742613345799414,1899,75.92592592592592,62
SF-Foundation/Ein-72B-v0.11,1.280581402138389,46,0.2983128293880746,1844,75.92592592592592,60
TomGrc/FusionNet_34Bx2_MoE,1.2794199566999136,47,0.3026569895366036,1832,75.0,81
SF-Foundation/Ein-72B-v0.13,1.2794060187330696,48,0.2983128293880746,1845,75.92592592592592,61
kyujinpy/PlatYi-34B-LoRA,1.2791146324706444,49,0.1063815573477062,2230,74.07407407407408,133
ParasiticRogue/Merged-RP-Stew-V2-34B,1.2747271087945895,50,0.1048327543761177,2237,75.0,77
kyujinpy/PlatYi-34B-Llama,1.2737963675826458,51,0.1062676898420533,2231,75.0,93
davidkim205/Rhea-72b-v0.2,1.273431753871891,52,0.1943339312357311,2083,75.0,89
cloudyu/Truthful_DPO_TomGrc_FusionNet_34Bx2_MoE,1.272332690379815,53,0.3026569895366036,1833,75.0,87
migtissera/Tess-72B-v1.5b,1.2708581961638556,54,0.3561652150008785,1734,76.85185185185185,47
moreh/MoMo-70B-lora-1.8.5-DPO,1.2688532169836315,55,0.2521256415539725,1956,75.92592592592592,67
fblgit/una-xaberius-34b-v1beta,1.2636789773243808,56,0.1063815573477062,2229,74.07407407407408,128
SF-Foundation/Ein-72B-v0.12,1.261117063594294,57,0.29990264699833,1839,75.0,79
davidkim205/Rhea-72b-v0.4,1.2604829341547936,58,0.1944123242155541,2082,74.07407407407408,127
abacusai/Smaug-70B-v0.1,1.2597403044679538,59,0.29990264699833,1840,75.0,83
abacusai/Smaug-72B-v0.1,1.2597403044679538,60,0.29990264699833,1841,75.0,84
moreh/MoMo-72B-LoRA-V1.4,1.258701971559476,61,0.2521256415539725,1957,75.92592592592592,69
Azure99/blossom-v5-34b,1.2578991166498472,62,0.5932175431794616,1249,74.07407407407408,103
kyujinpy/PlatYi-34B-Llama-Q,1.2558457588470715,63,0.1014527405477467,2245,73.14814814814815,206
brucethemoose/Yi-34B-200K-DARE-merge-v7,1.2465502930689003,64,0.105091817148847,2235,74.07407407407408,124
brucethemoose/SUS-Bagel-200K-DARE-Test,1.2387806994524375,65,0.1048327543761177,2238,75.0,85
brucethemoose/Yi-34B-200K-DARE-megamerge-v8,1.2307881006867945,66,0.1064112178447937,2224,74.07407407407408,123
CohereForAI/c4ai-command-r-plus,1.2257802686739028,67,0.9134161210636272,895,79.62962962962963,21
Weyaxi/Astralis-4x34B,1.2243989887236355,68,0.1271449613998664,2192,73.14814814814815,181
kyujinpy/PlatYi-34B-200k-Q-FastChat,1.2198941156202248,69,-0.0398267938675217,2523,76.85185185185185,46
AA051612/A0123,1.218078188133666,70,-0.0052165425857051,2467,74.07407407407408,102
moreh/MoMo-70B-LoRA-V1.4,1.215700500249267,71,0.1308366386324438,2188,75.0,98
Weyaxi/Qwen-72B-Llama,1.214767263376251,72,1.1520710393930194,515,78.70370370370371,30
TeeZee/Kyllene-34B-v1.1,1.214378871220515,73,0.1575391030108764,2157,72.22222222222221,251
logicker/SkkuDS-DPO-72B-v1,1.2143498785501312,74,0.1879941847716599,2103,74.07407407407408,136
logicker/SkkuDS-DPO-72B-v3,1.213416771861766,75,0.1879941847716599,2104,74.07407407407408,137
Qwen/Qwen1.5-110B-Chat,1.2118269868376086,76,0.0336115441512816,2374,75.92592592592592,59
ibivibiv/orthorus-125b-v2,1.206748349368915,77,0.1843964739429356,2108,75.0,90
Qwen/Qwen1.5-72B,1.2060298895099344,78,0.1879941847716599,2101,74.07407407407408,117
Qwen/Qwen2-beta-72B,1.2060298895099344,79,0.1879941847716599,2102,74.07407407407408,118
Weyaxi/Cosmosis-3x34B,1.2004883725327151,80,0.1284015599118758,2190,72.22222222222221,257
migtissera/Tess-M-Creative-v1.0,1.2004605905846708,81,0.4391460306303907,1498,72.22222222222221,302
dfurman/HermesBagel-34B-v0.1,1.1990259492838444,82,0.1064215924737969,2221,72.22222222222221,279
Weyaxi/Bagel-Hermes-34B-Slerp,1.1976422413508407,83,0.1064215924737969,2220,72.22222222222221,256
cloudyu/Yi-34Bx2-MOE-200K,1.1965187433801563,84,0.1064112178447937,2225,74.07407407407408,125
sumo43/Yi-32b-x2-v2.0,1.19340562217359,85,0.1064112178447937,2227,74.07407407407408,139
AA051615/A0305a,1.1912713157977668,86,0.1794036682729358,2117,75.92592592592592,53
sumo43/Yi-34b-x2,1.189447348594631,87,0.1064112178447937,2228,74.07407407407408,140
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Linear,1.1891930081996278,88,0.1588700404895271,2155,72.22222222222221,258
NLPinas/yi-bagel-2x34b,1.188829191533601,89,0.1064112178447937,2222,74.07407407407408,114
NLPinas/yi-bagel-2x34b-moe,1.188829191533601,90,0.1064112178447937,2223,74.07407407407408,115
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties,1.1887860416498666,91,0.0909937689428306,2273,76.85185185185185,42
Qwen/Qwen-72B,1.1867535960561335,92,0.0637839882146864,2318,74.07407407407408,116
KnutJaegersberg/Deacon-34b-qlora-adapter,1.1862529973837994,93,0.1967282815104589,2075,73.14814814814815,161
KnutJaegersberg/Deacon-34b-Adapter,1.1843803502313477,94,0.1967282815104589,2074,73.14814814814815,160
ShinojiResearch/Senku-70B-Full,1.1805931131551872,95,0.320180063070989,1794,74.07407407407408,121
jondurbin/nontoxic-bagel-34b-v0.2,1.1765026982796594,96,0.1064112178447937,2226,74.07407407407408,132
cloudyu/Phoenix_DPO_60B,1.1762313747511266,97,-0.0672440224192962,2568,73.14814814814815,195
kyujinpy/PlatYi-34B-Llama-Q-FastChat,1.1761726267711092,98,-0.0303834567986369,2506,72.22222222222221,290
louisbrulenaudet/Pearl-34B-dare,1.1698980205004104,99,0.1065106591111267,2218,73.14814814814815,208
brucethemoose/CapyTessBorosYi-34B-200K-DARE-Ties,1.1640234994327696,100,0.1271683940360136,2191,73.14814814814815,193
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Slerp,1.163528689941581,101,0.0208960978530126,2408,72.22222222222221,259
cloudyu/Yi-34Bx3-MoE-90B,1.1589933368355845,102,-0.0285848688955791,2504,72.22222222222221,273
Mihaiii/Pallas-0.4,1.1581537046065684,103,0.291729004179792,1869,74.07407407407408,110
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-HighDensity,1.1581306535067588,104,0.0273588073946783,2393,71.29629629629629,421
mncai/yi-34B-v3,1.158063649773201,105,0.1635030681924211,2145,72.22222222222221,303
Mihaiii/Pallas-0.3,1.156820398416352,106,0.291729004179792,1868,74.07407407407408,109
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-ExtremeDensity,1.154922206366434,107,0.0273588073946783,2392,71.29629629629629,420
adamo1139/Yi-34B-200K-AEZAKMI-v2,1.1536474570063229,108,0.2213753739132767,2023,74.07407407407408,122
louisbrulenaudet/Pearl-34B-ties,1.150775771719846,109,-0.0049338319095601,2466,73.14814814814815,209
01-ai/Yi-34B-200K,1.1503957111418572,110,0.220078880816944,2028,73.14814814814815,143
Infinimol/miiqu-f16,1.1485060568167822,111,0.0416190600265932,2355,75.92592592592592,58
AA051610/testtest,1.1470503821104954,112,-0.0049338319095601,2464,73.14814814814815,148
jondurbin/bagel-dpo-34b-v0.2,1.1445338852904936,113,-0.0049338319095601,2465,73.14814814814815,204
Locutusque/Hyperion-2.0-Yi-34B,1.1435637173966642,114,0.1957057423622919,2078,71.29629629629629,351
one-man-army/UNA-34Beagles-32K-bf16-v1,1.1411099439161003,115,-0.0086612055511281,2475,74.07407407407408,138
jondurbin/bagel-34b-v0.4,1.140126367942354,116,0.3580313439890624,1733,75.0,92
Weyaxi/Helion-4x34B,1.1393129844132268,117,-0.0223224203361933,2489,71.29629629629629,392
wenbopan/Faro-Yi-34B-200K,1.1384434309391416,118,0.0233140154551397,2403,72.22222222222221,322
adamo1139/Yi-34b-200K-rawrr-v2-run-0902-LoRA,1.1361999652465238,119,0.105074455235976,2236,72.22222222222221,264
NousResearch/Nous-Hermes-2-Yi-34B,1.1357718107792316,120,-0.0038461333329454,2462,72.22222222222221,240
migtissera/Tess-70B-v1.6,1.135673432884729,121,0.3407169387906671,1761,73.14814814814815,211
Weyaxi/Bagel-Hermes-2x34B,1.1338131865716503,122,-0.027330259348811,2499,71.29629629629629,390
Weyaxi/Bagel-Hermes-2x34b,1.1338131865716503,123,-0.027330259348811,2500,71.29629629629629,391
Mihaiii/Pallas-0.2,1.1328002894030336,124,0.102795038103844,2243,74.07407407407408,108
JaeyeonKang/CCK_Asura_v3.0,1.1305180057111912,125,0.0875462940375836,2283,73.14814814814815,157
cloudyu/Yi-34Bx2-MoE-60B,1.1279643580351073,126,-0.1235922437036877,2668,72.22222222222221,271
AA051610/C0325-L,1.1269988458462905,127,0.0437077109061889,2352,78.70370370370371,24
CausalLM/35b-beta-long,1.1269988458462905,128,0.0437077109061889,2353,78.70370370370371,27
Steelskull/VerA-Etheria-55b,1.1268493712845655,129,0.3821298030604336,1640,75.0,80
Mihaiii/Pallas-0.5-LASER-0.4,1.1265165879579493,130,0.2657938605837276,1928,75.0,75
AA051611/whattest,1.126401061323657,131,0.0263810835203191,2396,72.22222222222221,222
cloudyu/Yi-34Bx2-MoE-60B-DPO,1.1252783850599244,132,-0.1235922437036877,2669,72.22222222222221,272
ibndias/Nous-Hermes-2-MoE-2x34B,1.124048467561415,133,0.0302342696487723,2385,72.22222222222221,284
AA051610/C0318-G,1.1228969799794886,134,0.2028691231140098,2062,78.70370370370371,23
CausalLM/35b-beta,1.1228969799794886,135,0.2028691231140098,2063,78.70370370370371,26
Mihaiii/Pallas-0.5-LASER-0.3,1.1216118140317517,136,0.2668809118852006,1922,74.07407407407408,112
Locutusque/Hercules-4.0-Yi-34B,1.1214811539896683,137,0.148426339942838,2166,73.14814814814815,162
cloudyu/Mixtral_34Bx2_MoE_60B,1.1207227156682855,138,-0.1235922437036877,2665,72.22222222222221,268
lodrick-the-lafted/Grafted-Wind-Elementals-2x70B,1.1189976301441769,139,0.0193208086912985,2412,74.07407407407408,135
cloudyu/Truthful_DPO_cloudyu_Mixtral_34Bx2_MoE_60B,1.1186068309306685,140,-0.1235922437036877,2667,72.22222222222221,270
adamo1139/yi-34b-200k-rawrr-dpo-1,1.117740908142019,141,-0.043326119493967,2529,73.14814814814815,188
TomGrc/FusionNet_34Bx2_MoE_v0.1,1.1174119487648515,142,-0.125410839956075,2670,73.14814814814815,180
cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_full_linear_DPO,1.1173274483860585,143,-0.125410839956075,2671,73.14814814814815,196
Mihaiii/Pallas-0.5-LASER-0.2,1.1155055395850744,144,0.2013054189274122,2066,74.07407407407408,111
adamo1139/Yi-34B-200K-AEZAKMI-XLCTX-v3,1.113894570005438,145,0.2819491015633111,1884,73.14814814814815,185
adamo1139/Yi-34B-200K-rawrr1-LORA-DPO-experimental-r3,1.1137630249789294,146,-0.043326119493967,2528,73.14814814814815,186
adamo1139/yi-34b-200k-rawrr-dpo-2,1.1132989779762812,147,-0.043326119493967,2530,73.14814814814815,189
kyujinpy/PlatYi-34B-Llama-Q-v2,1.112642331240269,148,0.0311141765261395,2383,71.29629629629629,439
Mihaiii/Pallas-0.5-LASER-0.5,1.1124098057242326,149,0.2655314176289182,1932,74.07407407407408,113
Locutusque/Hyperion-3.0-Yi-34B,1.111539452531189,150,0.0715229290858283,2308,71.29629629629629,352
cookinai/OrcaHermes-Mistral-70B-miqu,1.1110914659947813,151,0.0875622641416425,2282,72.22222222222221,277
jondurbin/bagel-34b-v0.2,1.1084876982440228,152,-0.0036444318092487,2461,71.29629629629629,436
mncai/yi-34B-v2,1.1080520970049483,153,0.0661267481988494,2317,71.29629629629629,453
adamo1139/Yi-34B-200K-AEZAKMI-RAW-1701,1.1075127106588674,154,0.0910062353518385,2271,73.14814814814815,184
nisten/shqiponja-59b-v1,1.1060838188840332,155,0.0909990673886387,2272,73.14814814814815,212
dreamgen/opus-v1-34b,1.1051181774712282,156,0.1047959967934323,2239,71.29629629629629,425
Mihaiii/Pallas-0.5-LASER-exp2-0.1,1.104954748448973,157,0.2664043893196378,1926,73.14814814814815,167
Mihaiii/Pallas-0.5-LASER-0.1,1.1040855025900134,158,0.201169583935302,2067,73.14814814814815,165
ConvexAI/Luminex-34B-v0.1,1.1020821184769576,159,-0.0745745765928929,2574,72.22222222222221,225
Weyaxi/Nous-Hermes-2-SUS-Chat-2x34B,1.0975868385242389,160,-0.0404972731773868,2524,71.29629629629629,393
Azure99/blossom-v3_1-yi-34b,1.0942981583313909,161,0.1685637460671666,2140,72.22222222222221,224
APMIC/caigun-lora-model-34B-v2,1.09388804955274,162,0.1068077795923955,2217,70.37037037037037,478
cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO_f16,1.0896375530491638,163,-0.1235922437036877,2666,72.22222222222221,269
Mihaiii/Pallas-0.5-LASER-0.6,1.0891496046407056,164,0.2664043893196378,1925,73.14814814814815,166
lodrick-the-lafted/Grafted-Llama2-2x70B,1.0826112793983045,165,0.846901377471169,957,75.0,94
senseable/Wilbur-30B,1.079318128972352,166,-0.1212903324793315,2663,71.29629629629629,464
SUSTech/SUS-Chat-34B,1.0776152613337973,167,-0.0953441287283225,2611,71.29629629629629,370
migtissera/Tess-34B-v1.4,1.07688014416591,168,0.1032071350703819,2242,72.22222222222221,300
abacusai/Smaug-34B-v0.1,1.0764817470639008,169,-0.1212903324793315,2659,71.29629629629629,399
abacusai/Smaugv0.1,1.0764817470639008,170,-0.1212903324793315,2660,71.29629629629629,400
fblgit/UNA-SimpleSmaug-34b-v1beta,1.0748180047933753,171,-0.1212903324793315,2661,71.29629629629629,430
louisbrulenaudet/Maxine-34B-stock,1.0741660350530493,172,-0.1212903324793315,2662,71.29629629629629,446
ConvexAI/Luminex-34B-v0.2,1.0721111076741217,173,-0.1212903324793315,2655,71.29629629629629,336
abacusai/MetaMath-Bagel-DPO-34B,1.0718215814266296,174,-0.1212903324793315,2658,71.29629629629629,398
Mihaiii/Pallas-0.5,1.0715178382650998,175,0.1041733217636744,2240,72.22222222222221,237
databricks/dbrx-base,1.0710605806537772,176,0.2087299992335249,2050,73.14814814814815,198
abacusai/MM-OV-bagel-DPO-34b-c1000-250,1.0675049402775243,177,-0.1212903324793315,2656,71.29629629629629,396
migtissera/Tess-34B-v1.5b,1.0674599920472327,178,-0.1564425376664872,2712,72.22222222222221,301
