model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
Contamination/contaminated_proof_7b_v1.0_safetensor,2.3737025006057153,1,0.4412181469334027,1407,90.96385542168674,1
AA051611/O0201,2.230732527878122,2,1.573724510293332,267,70.48192771084338,4
AA051611/V0201,2.212807333523236,3,1.5796208014432065,263,71.6867469879518,3
AA051612/B0121,2.002948820001795,4,0.9267764520920934,799,67.46987951807229,9
AA051612/A0125,2.002413904065701,5,0.5179762904846542,1311,68.67469879518072,6
AA051615/A0204,1.9980224145226615,6,0.7256726455543088,1005,67.46987951807229,10
AA051611/V0202,1.974383986673695,7,0.689728296855125,1057,68.67469879518072,5
AA051615/A0304,1.9306582864873536,8,1.1452148007777505,655,66.86746987951807,11
CausalLM/34b-beta,1.9273314881370351,9,0.739530236482989,989,66.26506024096386,12
AA051610/A0127,1.884618339693659,10,0.7515557323639508,967,65.66265060240963,13
AA051612/A0126,1.8826325563514763,11,0.8378508121092179,876,65.66265060240963,14
NeverSleep/CausalLM-RP-34B,1.851001420134444,12,1.2961579733963815,533,64.45783132530121,19
AA051615/A0308-G,1.8438360660807176,13,0.9912193142866996,756,65.06024096385542,17
AA051615/L0225,1.8163706455801156,14,0.8295845869177352,882,65.66265060240963,15
AA051612/A0124,1.7977492159957649,15,0.5454501702945009,1247,65.06024096385542,16
AA051610/O0128,1.7724907578654947,16,0.6217287659880042,1129,62.65060240963856,22
AA051615/A0221,1.7670471258778595,17,0.3247198509214126,1618,63.85542168674698,20
AA051615/L0223,1.7029465549200575,18,0.6785421720001353,1072,62.65060240963856,23
BAAI/Aquila2-34B,1.667405384642964,19,-0.211592356186119,2590,78.91566265060241,2
AA051612/B0122,1.639041204575452,20,0.5831783751342274,1181,62.048192771084345,26
AA051610/C0322-reft,1.6228776854263982,21,0.4817607091008693,1344,68.07228915662651,7
CausalLM/35b-beta2ep,1.6228776854263982,22,0.4817607091008693,1345,68.07228915662651,8
AA051615/A0306,1.597595462931136,23,0.8948608059433764,820,62.048192771084345,27
Qwen/Qwen2-72B,1.5326822881128472,24,0.3707873995265923,1541,57.22891566265061,221
meta-llama/Meta-Llama-3-70B,1.4399950399352472,25,0.5414558638969124,1256,58.43373493975904,131
mistralai/Mixtral-8x22B-Instruct-v0.1,1.409291663407595,26,0.7445440990242785,980,59.036144578313255,46
mistralai/Mixtral-8x22B-v0.1,1.3820541101535446,27,0.5424245067760814,1252,59.036144578313255,47
moreh/MoMo-70B-lora-1.8.6-DPO,1.377018673201349,28,0.5938365962251949,1161,59.036144578313255,51
01-ai/Yi-1.5-34B-Chat,1.371566916625056,29,0.6364928072895304,1117,62.65060240963856,21
Qwen/Qwen1.5-72B-Chat,1.3714287084404533,30,0.6201754899882664,1130,59.036144578313255,38
abacusai/Smaug-2-72B,1.3675704641011392,31,0.6185683686968778,1131,58.43373493975904,81
moreh/MoMo-72B-lora-1.8.7-DPO,1.3612309085771583,32,0.5938365962251949,1162,59.036144578313255,52
moreh/MoMo-70B-LoRA-V1.4,1.3595918383198695,33,0.5938365962251949,1160,59.036144578313255,50
moreh/MoMo-70B-lora-1.8.5-DPO,1.358714275099059,34,0.5925056118859298,1165,58.43373493975904,134
meta-llama/Meta-Llama-3-70B-Instruct,1.3571804369138056,35,0.2177377087795488,1847,56.62650602409639,417
moreh/MoMo-72B-LoRA-V1.4,1.348132137260176,36,0.5925056118859298,1166,58.43373493975904,135
Qwen/Qwen-72B,1.3462067878767046,37,0.5932921173797503,1163,58.43373493975904,67
AA051612/A0123,1.3455785011100263,38,0.4206914071194233,1438,57.831325301204814,142
davidkim205/Rhea-72b-v0.3,1.344478946918364,39,0.445613280641354,1401,58.43373493975904,94
kyujinpy/PlatYi-34B-Llama-Q-FastChat,1.342401409848843,40,0.2426666981920127,1803,58.43373493975904,120
dfurman/HermesBagel-34B-v0.1,1.3315571423873156,41,0.3173060971921337,1634,58.43373493975904,97
Weyaxi/Bagel-Hermes-34B-Slerp,1.3300475261360838,42,0.3173060971921337,1633,58.43373493975904,74
SF-Foundation/Ein-72B-v0.12,1.3287594301419496,43,0.5403750806586457,1262,57.831325301204814,159
abacusai/Smaug-70B-v0.1,1.327289013966824,44,0.5403750806586457,1264,57.831325301204814,167
abacusai/Smaug-72B-v0.1,1.327289013966824,45,0.5403750806586457,1265,57.831325301204814,168
cloudyu/Phoenix_DPO_60B,1.3262298534143788,46,0.2026222511383353,1879,58.43373493975904,89
SF-Foundation/Ein-72B-v0.11,1.3245754386912365,47,0.5403750806586457,1261,57.831325301204814,158
binbi/Ein-72B-v0.1,1.3240906573914455,48,0.5403750806586457,1266,57.831325301204814,172
SF-Foundation/Ein-72B-v0.13,1.323443361046752,49,0.5403750806586457,1263,57.831325301204814,160
migtissera/Tess-34B-v1.5b,1.311642116036157,50,0.3504841539287931,1573,59.63855421686747,35
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Slerp,1.31114268317852,51,0.3441104577340088,1584,57.831325301204814,165
davidkim205/Rhea-72b-v0.2,1.3086607493258102,52,0.3126367752280748,1640,57.22891566265061,250
davidkim205/Rhea-72b-v0.4,1.3074942552989024,53,0.3654583598365458,1549,56.62650602409639,371
Weyaxi/Helion-4x34B,1.3044165776933585,54,0.3632178554339783,1550,57.22891566265061,231
mncai/yi-34B-v3,1.3041539992160032,55,0.4114472538760348,1478,59.036144578313255,49
mistral-community/Mixtral-8x22B-v0.1,1.3035325263749116,56,0.2446320129638081,1799,57.831325301204814,188
senseable/Wilbur-30B,1.301519517500415,57,0.3010307433414224,1675,59.036144578313255,54
MTSAIR/MultiVerse_70B,1.3000874553488595,58,0.403409459015998,1496,56.024096385542165,513
kyujinpy/PlatYi-34B-Llama,1.296881887462278,59,0.1088147244261314,2061,57.831325301204814,184
