model_id,proposed_domain_trait,proposed_domain_rank,local_domain_trait,local_domain_rank,accuracy_0_100,accuracy_rank
AA051611/O0201,1.8343860175840596,1,0.8496892516260625,1008,94.15204678362574,1
AA051611/V0201,1.7796251674252346,2,0.8720243556005935,983,92.98245614035088,10
AA051612/A0125,1.7685195726401506,3,0.9818495478401637,784,94.15204678362574,3
AA051612/B0121,1.7518905425392834,4,0.9817794423526124,785,94.15204678362574,4
AA051615/A0204,1.7232897081124368,5,0.8893861755881582,956,92.98245614035088,13
AA051615/A0304,1.688737057607401,6,0.8789931420811806,976,94.15204678362574,5
AA051610/A0127,1.66925297351581,7,0.7332724645644678,1155,93.56725146198829,6
AA051615/A0308-G,1.6665278401926331,8,1.0157295592638964,725,93.56725146198829,8
AA051612/A0126,1.6531070165645718,9,0.8101077977126496,1056,92.98245614035088,11
AA051612/A0124,1.6497777306476418,10,0.8149355311718041,1049,94.15204678362574,2
CausalLM/34b-beta,1.642032260768502,11,0.617483793416956,1352,92.39766081871345,18
AA051611/V0202,1.6310070000650752,12,0.5819159856927621,1431,91.81286549707602,21
AA051615/A0221,1.6289753228379216,13,0.6104286584131539,1370,93.56725146198829,7
AA051610/O0128,1.6236125896999432,14,0.62429401276444,1338,92.98245614035088,9
AA051615/L0225,1.6184099651139912,15,0.8287960949555836,1033,92.98245614035088,15
NeverSleep/CausalLM-RP-34B,1.577346195692534,16,0.595544070440959,1404,91.81286549707602,24
AA051612/B0122,1.5624776678819412,17,0.9648128519099918,802,92.98245614035088,12
AA051615/L0223,1.5560923266655895,18,0.6471408710825031,1298,92.98245614035088,14
AA051615/A0306,1.4919513802794746,19,0.8785864839862986,977,92.39766081871345,17
Qwen/Qwen2-72B,1.4447991013062145,20,0.3391233643395218,1963,87.71929824561403,185
meta-llama/Meta-Llama-3-70B-Instruct,1.4102815447553567,21,0.7778139608937006,1099,90.05847953216374,40
AA051610/C0322-reft,1.4048478529134685,22,0.7868997132382791,1086,91.81286549707602,20
CausalLM/35b-beta2ep,1.4048478529134685,23,0.7868997132382791,1087,91.81286549707602,23
AA051612/A0123,1.3628139358654925,24,0.6147940418611836,1359,92.39766081871345,16
meta-llama/Meta-Llama-3-70B,1.3362598632366005,25,0.3551226825070778,1937,90.64327485380117,28
mistralai/Mixtral-8x22B-Instruct-v0.1,1.3340434044309029,26,0.7432774003931952,1140,90.64327485380117,29
Qwen/Qwen1.5-110B,1.3327300471861463,27,0.4736891150575557,1640,87.71929824561403,184
kyujinpy/PlatYi-34B-Llama-Q,1.3046426753599567,28,0.3998989080237785,1827,88.88888888888889,106
mistralai/Mixtral-8x22B-v0.1,1.3009199011333454,29,0.5144464447573951,1564,91.22807017543859,25
abacusai/Smaug-2-72B,1.2989419745333366,30,0.7342310528792375,1154,89.47368421052632,53
cloudyu/Yi-34Bx3-MoE-90B,1.2918249282906191,31,0.4994753004952763,1593,90.05847953216374,38
cloudyu/Mixtral_34Bx2_MoE_60B,1.2913676611600635,32,0.6182546304515885,1347,89.47368421052632,57
cloudyu/Phoenix_DPO_60B,1.2893603201588957,33,0.5101245514391056,1573,89.47368421052632,58
AA051615/A0305a,1.2849367424780755,34,1.084582908239666,551,91.81286549707602,22
AA051610/testtest,1.2799040386364702,35,0.8001898838907158,1068,90.05847953216374,32
TeeZee/Kyllene-34B-v1.1,1.2747596273339623,36,0.508931814057013,1577,88.88888888888889,89
xDAN2099/xDAN-L2-moe-2x-v1,1.2714305069022216,37,0.5923450529620914,1415,90.05847953216374,41
cloudyu/Truthful_DPO_TomGrc_FusionNet_34Bx2_MoE,1.2708138303287182,38,0.72606959983807,1163,88.30409356725146,148
cloudyu/Yi-34Bx2-MoE-60B,1.270751037568844,39,0.4916129808228057,1605,88.88888888888889,101
cloudyu/Truthful_DPO_cloudyu_Mixtral_34Bx2_MoE_60B,1.2699927747752688,40,0.5686781775020666,1459,88.88888888888889,99
jondurbin/bagel-dpo-34b-v0.2,1.2693999438414756,41,0.7965493064118818,1074,89.47368421052632,61
louisbrulenaudet/Pearl-34B-dare,1.2646980837496622,42,0.7965493064118818,1075,89.47368421052632,63
brucethemoose/Yi-34B-200K-DARE-merge-v7,1.2638803574126063,43,0.5940073017419755,1413,87.71929824561403,204
TomGrc/FusionNet_34Bx2_MoE,1.263876602008403,44,0.6138739280406023,1363,88.30409356725146,136
cloudyu/4bit_quant_TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO,1.2613145217037762,45,0.9596546221037986,812,92.39766081871345,19
macadeliccc/SmaugDolphin-60B,1.260423679163624,46,0.7129484890741258,1180,88.88888888888889,109
cloudyu/Yi-34Bx2-MoE-60B-DPO,1.2598342468089236,47,0.4903704639111287,1609,88.30409356725146,149
abacusai/Liberated-Qwen1.5-72B,1.2591540181314056,48,0.617404463466122,1353,89.47368421052632,52
maywell/PiVoT-SUS-RP,1.2591362646301243,49,0.5885183912596168,1423,90.05847953216374,39
brucethemoose/SUS-Bagel-200K-DARE-Test,1.255947264327469,50,0.5381139231408987,1512,88.88888888888889,96
sumo43/Yi-34b-x2,1.2547994378489398,51,0.7271266749712517,1161,89.47368421052632,66
cloudyu/Yi-34Bx2-MOE-200K,1.252481615687992,52,0.6699493187538869,1244,88.88888888888889,100
SUSTech/SUS-Chat-34B,1.2493067481436468,53,0.5750162189976176,1448,89.47368421052632,48
Weyaxi/Nous-Hermes-2-SUS-Chat-34B-Slerp,1.2482169221305015,54,0.430617429338348,1736,88.88888888888889,91
ibivibiv/alpaca-dragon-72b-v1,1.2473363928545853,55,0.4090322079175089,1802,89.47368421052632,60
